event_id,truck_id,silo_id,assignment_timestamp,detection_timestamp,truck_number,truck_type,rfid_tag,registration_date,weight_log_id,timestamp_before,weight_before_kg,timestamp_after,weight_after_kg,loading_start_time,loading_end_time,cement_loaded_kg,loading_duration_min,turnaround_time_min,net_weight_gain,loading_date
1005.0,TRK-4196,7.0,,2024-08-28 04:38:38,BQ-831-QC,Tipper,RFID-Hj060DF,2025-07-01,4980.0,2024-05-16 22:06:48,15135.0,2024-05-16 22:24:48,28250.0,2024-05-16 22:11:48,2024-05-16 22:19:48,17602.0,8.0,6.0,14939.0,2024-05-16
1006.0,TRK-0860,9.0,2024-12-29 19:58:00,2024-12-29 20:04:00,OJ-487-JQ,Bulk,RFID-Ex080Nu,2024-03-01,6837.0,2024-02-05 23:50:09,13988.0,2024-02-06 00:10:09,30954.0,2024-02-05 23:55:09,2024-02-06 00:05:09,16966.0,10.0,6.0,16966.0,2024-02-05
1007.0,TRK-1924,10.0,2024-03-28 18:42:34,2024-03-28 18:51:34,BG-185-GY,Bulk,RFID-VZ847FB,2025-04-17,3498.0,2024-08-15 02:57:24,13115.0,2024-08-15 03:12:24,26150.0,2024-08-15 03:02:24,2024-08-15 03:07:24,12812.0,5.0,9.0,14939.0,2024-08-15
1013.0,TRK-2267,6.0,2024-02-11 07:18:55,2024-02-11 07:27:55,PV-621-CX,Bulk,RFID-Ml903Xp,2024-10-24,2004.0,2024-10-12 22:49:32,13527.0,2024-10-12 23:04:32,27371.0,2024-10-12 22:54:32,2024-10-12 22:59:32,13844.0,5.0,9.0,13844.0,2024-10-12
1013.0,TRK-2267,6.0,2024-02-11 07:18:55,2024-02-11 07:27:55,PV-621-CX,Bulk,RFID-Ml903Xp,2024-10-24,5018.0,2024-01-24 20:46:18,12507.0,2024-01-24 21:06:18,26006.0,2024-01-24 20:51:18,2024-01-24 21:01:18,13499.0,10.0,9.0,13499.0,2024-01-24
1014.0,TRK-2070,14.0,2024-06-18 23:30:01,2024-06-18 23:36:01,EI-492-GA,Tipper,RFID-cZ689aU,2024-05-26,2984.0,2024-05-28 16:34:22,11026.0,2024-05-28 16:55:22,28250.0,2024-05-28 16:39:22,2024-05-28 16:50:22,12676.0,11.0,6.0,14939.0,2024-05-28
1015.0,TRK-2271,2.0,2024-08-08 15:26:16,2024-08-08 15:28:16,NY-392-II,Tipper,RFID-st262yR,2023-10-05,2692.0,2024-11-19 12:57:56,14650.0,2024-11-19 13:13:56,32011.0,2024-11-19 13:02:56,2024-11-19 13:08:56,17361.0,6.0,2.0,17361.0,2024-11-19
1016.0,TRK-3702,7.0,2024-08-07 23:10:13,2024-08-07 23:14:13,KR-170-MH,Tipper,RFID-jo350IY,2024-05-08,2429.0,2024-11-25 22:56:28,10190.0,2024-11-25 23:17:28,23478.0,2024-11-25 23:01:28,2024-11-25 23:12:28,13288.0,11.0,4.0,13288.0,2024-11-25
1017.0,TRK-3491,3.0,,2024-09-07 00:57:07,CI-162-MF,Tipper,RFID-DX111Gy,2024-03-09,4122.0,2024-04-20 14:02:46,15910.0,2024-04-20 14:17:46,30703.0,2024-04-20 14:07:46,2024-04-20 14:12:46,14793.0,5.0,6.0,14793.0,2024-04-20
1020.0,TRK-2906,10.0,2024-04-15 10:16:57,2024-04-15 10:19:57,TU-532-RQ,Tipper,RFID-Pp615Eb,2024-08-17,5521.0,2024-09-01 11:10:58,13460.0,2024-09-01 11:26:58,28866.0,2024-09-01 11:15:58,2024-09-01 11:21:58,15406.0,6.0,3.0,15406.0,2024-09-01
1025.0,TRK-3786,13.0,2024-07-17 20:02:34,2024-07-17 20:10:34,VL-464-KP,Bulk,RFID-oT823Mj,2024-02-18,5704.0,2024-07-25 01:59:12,14422.0,2024-07-25 02:22:12,32393.0,2024-07-25 02:04:12,2024-07-25 02:17:12,17971.0,13.0,8.0,17971.0,2024-07-25
1027.0,TRK-3691,9.0,2024-07-11 20:00:07,2024-07-11 20:05:07,FV-912-LV,Tipper,RFID-qT931xJ,2025-03-16,2294.0,2024-11-02 06:45:48,11872.0,2024-11-02 07:10:48,29083.0,2024-11-02 06:50:48,2024-11-02 07:05:48,17211.0,15.0,5.0,17211.0,2024-11-02
