weight_log_id,truck_id,timestamp_before,weight_before_kg,timestamp_after,weight_after_kg,loading_start_time,loading_end_time,cement_loaded_kg
2001.0,TRK-3581,2024-01-07 02:20:10,13190.0,2024-01-07 02:40:10,29612.0,2024-01-07 02:25:10,2024-01-07 02:35:10,16422.0
,TRK-2400,2024-09-14 04:01:34,14221.0,2024-09-14 04:20:34,28194.0,2024-09-14 04:06:34,2024-09-14 04:15:34,13973.0
2003.0,TRK-4617,,11895.0,2024-02-26 21:27:43,23942.0,2024-02-26 21:17:43,2024-02-26 21:22:43,12047.0
2004.0,TRK-2267,2024-10-12 22:49:32,13527.0,2024-10-12 23:04:32,27371.0,2024-10-12 22:54:32,2024-10-12 22:59:32,13844.0
2005.0,TRK-2566,2024-11-09 06:39:49,15325.0,2024-11-09 07:00:49,27335.0,2024-11-09 06:44:49,2024-11-09 06:55:49,12010.0
2006.0,TRK-4372,2024-06-30 15:40:44,14990.0,2024-06-30 16:05:44,31057.0,2024-06-30 15:45:44,2024-06-30 16:00:44,16067.0
2007.0,TRK-0313,2024-03-20 05:38:26,13144.0,2024-03-20 05:57:26,29774.0,2024-03-20 05:43:26,2024-03-20 05:52:26,16630.0
2008.0,TRK-2007,2024-05-27 15:26:08,13852.0,2024-05-27 15:46:08,30962.0,2024-05-27 15:31:08,2024-05-27 15:41:08,17110.0
,,,,,,,,
2010.0,TRK-0418,2024-05-26 00:58:33,15205.0,,31747.0,2024-05-26 01:03:33,,16542.0
2011.0,TRK-1988,2024-03-27 00:02:19,10472.0,2024-03-27 00:21:19,26321.0,2024-03-27 00:07:19,2024-03-27 00:16:19,15849.0
2012.0,TRK-0121,2024-09-22 05:03:17,11036.0,,28400.0,2024-09-22 05:08:17,2024-09-22 05:20:17,17364.0
2013.0,TRK-4340,2024-10-15 12:22:36,14726.0,2024-10-15 12:37:36,28035.0,2024-10-15 12:27:36,2024-10-15 12:32:36,13309.0
2014.0,TRK-3732,2024-03-06 03:29:42,13485.0,2024-03-06 03:48:42,28502.0,2024-03-06 03:34:42,2024-03-06 03:43:42,15017.0
2015.0,TRK-0931,2024-05-16 06:50:55,11540.0,2024-05-16 07:05:55,29156.0,2024-05-16 06:55:55,2024-05-16 07:00:55,17616.0
2016.0,TRK-0392,2024-10-12 18:26:10,12626.0,2024-10-12 18:51:10,25035.0,2024-10-12 18:31:10,2024-10-12 18:46:10,12409.0
2017.0,TRK-0969,2024-05-31 15:55:28,15105.0,,29790.0,2024-05-31 16:00:28,2024-05-31 16:13:28,14685.0
2018.0,TRK-4022,2024-09-12 01:55:44,12690.0,2024-09-12 02:14:44,28640.0,2024-09-12 02:00:44,2024-09-12 02:09:44,15950.0
2019.0,TRK-1719,2024-11-04 15:24:56,14441.0,2024-11-04 15:47:56,,2024-11-04 15:29:56,2024-11-04 15:42:56,12001.0
2020.0,TRK-4440,2024-06-28 02:44:08,12316.0,2024-06-28 03:01:08,28286.0,2024-06-28 02:49:08,2024-06-28 02:56:08,15970.0
